timestamp_utc,open,high,low,close,volume
2024-08-27 00:00:00,1.11646,1.11656,1.11595,1.11610,67082216081
2024-08-27 01:00:00,1.11610,1.11706,1.11597,1.11692,67045488393
2024-08-27 02:00:00,1.11692,1.11703,1.11640,1.11682,65964646073
2024-08-27 03:00:00,1.11682,1.11689,1.11651,1.11667,65631941431
2024-08-27 04:00:00,1.11667,1.11695,1.11667,1.11683,65462030829
2024-08-27 05:00:00,1.11683,1.11722,1.11647,1.11668,67021182732
2024-08-27 06:00:00,1.11667,1.11714,1.11612,1.11617,67392809206
2024-08-27 07:00:00,1.11616,1.11724,1.11616,1.11640,67618878586
2024-08-27 08:00:00,1.11638,1.11739,1.11620,1.11666,67333943133
2024-08-27 09:00:00,1.11666,1.11786,1.11661,1.11681,67376044439
2024-08-27 10:00:00,1.11680,1.11699,1.11618,1.11659,67228436724
2024-08-27 11:00:00,1.11659,1.11697,1.11605,1.11605,67264001803
2024-08-27 12:00:00,1.11606,1.11646,1.11501,1.11585,67621313573
2024-08-27 13:00:00,1.11585,1.11697,1.11525,1.11681,67556981470
2024-08-27 14:00:00,1.11682,1.11718,1.11628,1.11661,68151170500
2024-08-27 15:00:00,1.11661,1.11698,1.11587,1.11597,67691982025
2024-08-27 16:00:00,1.11597,1.11677,1.11595,1.11657,67135325798
2024-08-27 17:00:00,1.11656,1.11826,1.11643,1.11813,67117407928
2024-08-27 18:00:00,1.11813,1.11905,1.11800,1.11857,67051539007
2024-08-27 19:00:00,1.11857,1.11857,1.11814,1.11842,66825874963
2024-08-27 20:00:00,1.11841,1.11858,1.11827,1.11836,63986635733
2024-08-27 21:00:00,1.11834,1.11852,1.11784,1.11833,63264655934
2024-08-27 22:00:00,1.11833,1.11849,1.11829,1.11836,59973673945
2024-08-27 23:00:00,1.11837,1.11845,1.11747,1.11769,63613615470
