timestamp_utc,funding_rate,settlement_hour_utc
2020-01-01 00:00:00,-0.00012359,0
2020-01-01 08:00:00,-0.00012383,8
2020-01-01 16:00:00,-9.664e-05,16
2020-01-02 00:00:00,3.662e-05,0
2020-01-02 08:00:00,0.0001,8
2020-01-02 16:00:00,1.04e-06,16
2020-01-03 00:00:00,-1.664e-05,0
2020-01-03 08:00:00,-1.553e-05,8
2020-01-03 16:00:00,0.0001,16
2020-01-04 00:00:00,0.0001,0
2020-01-04 08:00:00,8.4e-07,8
2020-01-04 16:00:00,7.387e-05,16
2020-01-05 00:00:00,0.0001,0
2020-01-05 08:00:00,0.0001,8
2020-01-05 16:00:00,0.0001,16
2020-01-06 00:00:00,0.0001,0
2020-01-06 08:00:00,0.0001,8
2020-01-06 16:00:00,0.0001,16
2020-01-07 00:00:00,0.0001,0
2020-01-07 08:00:00,0.0001,8
2020-01-07 16:00:00,0.0001,16
2020-01-08 00:00:00,0.00012514,0
2020-01-08 08:00:00,0.0001,8
2020-01-08 16:00:00,0.0001,16
2020-01-09 00:00:00,0.0001,0
2020-01-09 08:00:00,0.0001,8
2020-01-09 16:00:00,0.0001,16
2020-01-10 00:00:00,0.0001,0
2020-01-10 08:00:00,0.0001,8
2020-01-10 16:00:00,0.0001,16
2020-01-11 00:00:00,0.0001,0
2020-01-11 08:00:00,0.00017846,8
2020-01-11 16:00:00,0.0001,16
2020-01-12 00:00:00,0.0001,0
2020-01-12 08:00:00,0.0001,8
2020-01-12 16:00:00,0.0001,16
2020-01-13 00:00:00,0.0001,0
2020-01-13 08:00:00,0.0001,8
2020-01-13 16:00:00,0.0001,16
2020-01-14 00:00:00,0.0001,0
2020-01-14 08:00:00,0.000259,8
2020-01-14 16:00:00,0.0001,16
2020-01-15 00:00:00,0.00049392,0
2020-01-15 08:00:00,0.00019497,8
2020-01-15 16:00:00,0.0001,16
2020-01-16 00:00:00,0.0001,0
2020-01-16 08:00:00,0.00041191,8
2020-01-16 16:00:00,0.00031466,16
2020-01-17 00:00:00,0.0001,0
2020-01-17 08:00:00,0.00015027,8
2020-01-17 16:00:00,0.00056749,16
2020-01-18 00:00:00,0.0001,0
2020-01-18 08:00:00,0.00029182,8
2020-01-18 16:00:00,0.00032081,16
2020-01-19 00:00:00,0.00020041,0
2020-01-19 08:00:00,0.00039329,8
2020-01-19 16:00:00,0.00092467,16
2020-01-20 00:00:00,0.00029702,0
2020-01-20 08:00:00,0.0001,8
2020-01-20 16:00:00,0.00010782,16
2020-01-21 00:00:00,0.00012057,0
2020-01-21 08:00:00,0.00015425,8
2020-01-21 16:00:00,0.0001574,16
2020-01-22 00:00:00,0.0001,0
2020-01-22 08:00:00,0.00021392,8
2020-01-22 16:00:00,0.0001,16
2020-01-23 00:00:00,0.0001,0
2020-01-23 08:00:00,0.0001,8
2020-01-23 16:00:00,0.00052304,16
2020-01-24 00:00:00,0.00054719,0
2020-01-24 08:00:00,0.00042124,8
2020-01-24 16:00:00,0.00017948,16
2020-01-25 00:00:00,0.0001,0
2020-01-25 08:00:00,0.0001,8
2020-01-25 16:00:00,0.0001,16
2020-01-26 00:00:00,0.0001,0
2020-01-26 08:00:00,0.0001,8
2020-01-26 16:00:00,0.0001,16
2020-01-27 00:00:00,0.0001,0
2020-01-27 08:00:00,0.0001,8
2020-01-27 16:00:00,0.0001,16
2020-01-28 00:00:00,0.0001,0
2020-01-28 08:00:00,0.00068689,8
2020-01-28 16:00:00,0.00054394,16
2020-01-29 00:00:00,0.00062324,0
2020-01-29 08:00:00,0.00108193,8
2020-01-29 16:00:00,0.00053694,16
2020-01-30 00:00:00,0.000236,0
2020-01-30 08:00:00,0.00024877,8
2020-01-30 16:00:00,0.00034852,16
2020-01-31 00:00:00,0.00053551,0
2020-01-31 08:00:00,0.00077154,8
2020-01-31 16:00:00,0.00039858,16
2020-02-01 00:00:00,0.00074991,0
2020-02-01 08:00:00,0.00065667,8
2020-02-01 16:00:00,0.00049052,16
2020-02-02 00:00:00,0.00028263,0
2020-02-02 08:00:00,0.00034916,8
2020-02-02 16:00:00,0.00065524,16
2020-02-03 00:00:00,0.00060677,0
2020-02-03 08:00:00,0.00035862,8
2020-02-03 16:00:00,0.0001,16
2020-02-04 00:00:00,0.00099282,0
2020-02-04 08:00:00,0.0005445,8
2020-02-04 16:00:00,0.00038192,16
2020-02-05 00:00:00,0.0001,0
2020-02-05 08:00:00,0.0001,8
2020-02-05 16:00:00,0.00052631,16
2020-02-06 00:00:00,0.00164021,0
2020-02-06 08:00:00,0.00078299,8
2020-02-06 16:00:00,0.00055668,16
2020-02-07 00:00:00,0.00035618,0
2020-02-07 08:00:00,0.00019726,8
2020-02-07 16:00:00,0.00034616,16
2020-02-08 00:00:00,0.00039915,0
2020-02-08 08:00:00,0.00062858,8
2020-02-08 16:00:00,0.00099315,16
2020-02-09 00:00:00,0.00042798,0
2020-02-09 08:00:00,0.00081519,8
2020-02-09 16:00:00,0.00113954,16
2020-02-10 00:00:00,0.00106733,0
2020-02-10 08:00:00,0.00125022,8
2020-02-10 16:00:00,0.00097918,16
2020-02-11 00:00:00,0.00043989,0
2020-02-11 08:00:00,0.00064797,8
2020-02-11 16:00:00,0.0005012,16
2020-02-12 00:00:00,0.003,0
2020-02-12 08:00:00,0.00108055,8
