timestamp_utc,open,high,low,close,volume
2024-05-21 00:00:00,1.08603,1.08618,1.08564,1.08613,66748707633
2024-05-21 01:00:00,1.08613,1.08614,1.08553,1.08556,67078565070
2024-05-21 02:00:00,1.08557,1.08565,1.08509,1.08555,67316940141
2024-05-21 03:00:00,1.08554,1.08568,1.08539,1.08559,66546462888
2024-05-21 04:00:00,1.08557,1.08600,1.08552,1.08587,66379749128
2024-05-21 05:00:00,1.08587,1.08614,1.08565,1.08584,66815066765
2024-05-21 06:00:00,1.08583,1.08635,1.08568,1.08614,67163309346
2024-05-21 07:00:00,1.08616,1.08669,1.08593,1.08644,67388917022
2024-05-21 08:00:00,1.08643,1.08695,1.08598,1.08667,67373461015
2024-05-21 09:00:00,1.08668,1.08747,1.08663,1.08718,67245029457
2024-05-21 10:00:00,1.08722,1.08732,1.08658,1.08666,67280573890
2024-05-21 11:00:00,1.08667,1.08697,1.08643,1.08682,67219768607
2024-05-21 12:00:00,1.08685,1.08706,1.08547,1.08570,67690164226
2024-05-21 13:00:00,1.08572,1.08604,1.08425,1.08495,68181061303
2024-05-21 14:00:00,1.08498,1.08616,1.08462,1.08593,67752976383
2024-05-21 15:00:00,1.08594,1.08611,1.08529,1.08539,67433558180
2024-05-21 16:00:00,1.08539,1.08566,1.08520,1.08539,67091926222
2024-05-21 17:00:00,1.08537,1.08543,1.08463,1.08532,66652639067
2024-05-21 18:00:00,1.08532,1.08554,1.08501,1.08519,66659426629
2024-05-21 19:00:00,1.08520,1.08562,1.08508,1.08558,66557035808
2024-05-21 20:00:00,1.08559,1.08564,1.08534,1.08535,61330978241
2024-05-21 21:00:00,1.08531,1.08563,1.08531,1.08545,66379821217
2024-05-21 22:00:00,1.08545,1.08574,1.08536,1.08571,65881469090
2024-05-21 23:00:00,1.08572,1.08594,1.08539,1.08540,62810627767
