entry_time,side,entry_price,exit_price,exit_reason,pips,bars_held
2021-01-11 00:00:00,LONG,1.35181,1.34863,STOP,-32.8,8
2021-01-20 00:00:00,SHORT,1.36436,1.36610,STOP,-18.4,7
2021-01-25 06:00:00,SHORT,1.37147,1.37002,REVERT,13.5,3
2021-01-26 05:00:00,LONG,1.36491,1.36339,STOP,-16.2,2
2021-02-04 04:00:00,LONG,1.36114,1.35943,STOP,-18.1,4
2021-02-09 03:00:00,SHORT,1.37820,1.37671,REVERT,13.9,8
2021-02-12 03:00:00,LONG,1.37884,1.38004,REVERT,11.0,3
2021-02-16 01:00:00,SHORT,1.39250,1.39368,STOP,-12.8,1
2021-02-16 02:00:00,SHORT,1.39389,1.39299,REVERT,8.0,5
2021-02-17 01:00:00,LONG,1.38675,1.38860,REVERT,17.5,2
2021-02-24 01:00:00,SHORT,1.41306,1.41565,STOP,-26.9,1
2021-02-24 02:00:00,SHORT,1.41777,1.41621,REVERT,14.6,8
2021-02-25 22:00:00,LONG,1.40081,1.39497,MAXHOLD,-59.4,8
2021-03-01 01:00:00,SHORT,1.39871,1.39674,REVERT,18.7,4
2021-03-02 03:00:00,LONG,1.38817,1.38923,REVERT,9.6,8
2021-03-04 00:00:00,LONG,1.39208,1.39516,REVERT,29.8,5
2021-03-29 06:00:00,LONG,1.37628,1.37960,REVERT,32.2,2
2021-04-09 06:00:00,LONG,1.37042,1.36844,STOP,-20.8,1
2021-04-16 02:00:00,LONG,1.37584,1.37448,STOP,-14.6,5
2021-05-12 03:00:00,LONG,1.41128,1.41333,REVERT,19.5,4
2021-05-18 02:00:00,SHORT,1.41699,1.42046,STOP,-35.7,7
2021-06-01 02:00:00,SHORT,1.42411,1.42269,REVERT,13.2,4
2021-06-08 06:00:00,LONG,1.41503,1.41344,STOP,-16.9,2
2021-06-15 06:00:00,SHORT,1.41227,1.41102,REVERT,11.5,1
2021-06-16 22:00:00,LONG,1.39861,1.40013,REVERT,14.2,5
2021-07-06 02:00:00,SHORT,1.38725,1.38831,STOP,-11.6,2
2021-07-06 04:00:00,SHORT,1.38839,1.38705,REVERT,12.4,4
2021-07-15 02:00:00,LONG,1.38284,1.38521,REVERT,22.7,4
2021-07-30 04:00:00,LONG,1.39423,1.39504,REVERT,7.1,3
2021-08-17 04:00:00,LONG,1.38150,1.37948,STOP,-21.2,4
2021-08-19 02:00:00,LONG,1.37266,1.37102,STOP,-17.4,5
2021-08-23 01:00:00,SHORT,1.36414,1.36534,STOP,-13.0,1
2021-08-23 02:00:00,SHORT,1.36490,1.36637,STOP,-15.7,8
2021-08-31 04:00:00,SHORT,1.37759,1.37872,STOP,-12.3,2
2021-08-31 06:00:00,SHORT,1.37972,1.37691,REVERT,27.1,3
2021-09-07 02:00:00,SHORT,1.38523,1.38380,REVERT,13.3,3
2021-09-08 06:00:00,LONG,1.37696,1.37598,STOP,-10.8,1
2021-10-06 05:00:00,LONG,1.36056,1.35928,STOP,-13.8,3
2021-10-11 06:00:00,SHORT,1.36536,1.36718,STOP,-19.2,1
2021-10-19 01:00:00,SHORT,1.37519,1.37630,STOP,-12.1,1
2021-10-19 02:00:00,SHORT,1.37574,1.37712,STOP,-14.8,3
2021-10-19 05:00:00,SHORT,1.37692,1.37906,STOP,-22.4,4
2021-11-15 02:00:00,SHORT,1.34368,1.34262,REVERT,9.6,6
2021-12-07 04:00:00,SHORT,1.32839,1.32620,REVERT,20.9,5
